m1_surv,m2_surv
0.30953,0.89355
0.30953,0.89355
0.30953,0.89355
0.30953,0.89355
0.30777,0.89355
0.30777,0.89355
0.30777,0.89355
0.30777,0.89355
0.30777,0.89355
0.30777,0.89355
0.30777,0.89315
0.30066,0.89315
0.30066,0.89315
0.30066,0.89315
0.30066,0.89315
0.30066,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.2995,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89315
0.29812,0.89275
0.29812,0.89275
0.29812,0.89275
0.29812,0.89275
0.29812,0.89236
0.29812,0.89236
0.29812,0.89236
0.2966,0.89236
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89196
0.29294,0.89157
0.29294,0.89157
0.29294,0.89157
0.29294,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28353,0.89157
0.28218,0.89157
0.28218,0.89157
0.28218,0.89117
0.28218,0.89117
0.28065,0.89117
0.28065,0.89117
0.28065,0.89077
0.28065,0.89037
0.2795,0.89037
0.2795,0.89037
0.2795,0.89037
0.2795,0.89037
0.2795,0.88997
0.2795,0.88997
0.2795,0.88997
0.2795,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27411,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88997
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
0.27184,0.88957
